instruction,domain,thema,input_korean,output_ksl_gloss
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 당신이 원할 때 간단하게 입금과 출금을 할 수 있는 예금도 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 예금 통장을 만들고 싶다면 먼저 금리를 비교하는 것이 좋아요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
4퍼센트 금리의 예금에 가입하면 3퍼센트 금리의 예금보다 이자가 높아요.
Output:",돈1 두다1 지시1# 필요1 돈1 넣다1 뽑다4 자유1 가능1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 예금을 만드는 것은 개인의 돈 관리에서 중요한 부분을 차지할 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 예금에 가입하는 것은 돈을 계획적으로 모을 수 있다는 것을 말해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
은행이나 금융기관에 돈을 맡긴다는 것은 안전한 돈 관리 방법의 하나입니다.
Output:",돈1 두다1 만들다1 왜1 개인1 필요1 돈모으다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 예금에 가입한다는 것은 이자를 통해 수익을 받는다는 것을 말해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 주식 투자 방법에 비해 수익이 낮지만, 안전한 수익이 생겨요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
예금 계좌에서 일상생활에서 필요한 금액을 빨리 인출할 수 있는 장점이 있어요.
Output:",돈1 두다1 만들다1 의미1 이익1 돈주다1 가능1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 주택 구입 자금, 자녀 교육비, 은퇴 자금 등을 계획적으로 준비할 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 예금을 만들어 은행과 자주 거래하면 신용점수를 높일 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
예금에는 이자가 붙기 때문에, 돈을 은행에 맡기는 것만으로도 수익을 얻을 수 있어요.
Output:",돈1 두다1 미래1 집1 사다1 아들1 딸1 자녀1 교육1 돈1 늙다1 그만두다1 사용1 필요1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 예금은 주식이나 부동산 투자에 비해 수익률이 낮다는 단점이 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 예금의 단점에는 나라의 물가가 올랐을 때 수익률이 낮아진다는 점이 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
은행에 여러가지 예금이 있는데, 돈 모으기 좋은 예금을 찾는 방법을 알려주세요.
Output:",달리기1 흙1 돈1 투자1 비교1 돈1 두다1 나쁘다1 누르다1 이익1 작다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 예금 가입 전에 통장에서 돈을 인출하는 데 문제가 없는지 확인하세요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 예금 계좌를 만들고 싶을 때 준비해야 할 서류에 대해 알려주세요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
새로운 예금 계좌를 개설할 때 필요한 서류는 개인인지 회사인지에 따라 달라요.
Output:",처음1 은행1 두다1 만들다1 이전1 적금1 펴다1 돈1 야금야금쓰다3 가능1 확인2
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 본인이 맞는지 확인할 수 있는 주민등록증이나 운전면허증, 도장을 챙겨가야 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 가족이 대신 예금을 만들고 싶다면 대리인의 주민등록증을 가져가야 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
대리인이 가족이라면 예금의 주인과 대리인이 가족이 맞는지 확인할 수 있는 서류가 필요해요.
Output:",본인1 맞다1 확인2 목적1 신분증2 운전2 자격증1 가져오다7 도장4
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 통장이 있다면 은행에 가지 않고 휴대전화로 예금과 적금에 가입할 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 휴대전화로만 가입할 수 있는 예금이 있는데, 1만 원부터 3천만 원까지 맡길 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
은행 애플리케이션에서 6개월 이상 3년 이하의 예금을 가입할 수 있어요.
Output:",펴다1 있다1 은행1 대신1 핸드폰1 돈1 두다1 저축1 적금1 만들다1 가능1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 돈을 모으려면 적금에 가입하라던데, 적금이 무엇인지 자세히 설명해 주세요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 적금은 자신이 원하는 날짜에 돈을 저축하여 원금과 이자를 함께 받는 상품이에요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금을 만들면 자신이 목표한 금액을 모으는 데 도움이 돼요.
Output:",돈1 저축2 원하다1 적금1 만들다1 말하다1 적금 무엇1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 정기적금은 원하는 기간에 원하는 금액을 모으는 것으로, 만기 전에는 출금할 수 없어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 자유적금은 자신이 원하는 금액을 저금할 수 있어서, 돈 관리하기에 좋아요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
자신의 목표와 경제적인 상황에 맞는 적금을 선택하여 저축하는 습관을 만드세요.
Output:",저축1 얼마1 원하다1 언제1 간격1 제한1 적금1 중1 야금야금쓰다3 불가능3
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 적금은 돈을 모을 수 있는 좋은 방법이 되지만, 단점도 있으니 알려드릴게요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 적금의 단점은 이자율이 높지 않고 물가가 올라가면 수익률이 낮아진다는 거예요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
은행과 약속한 기간에는 돈을 인출할 수 없고, 돈을 인출하더라도 이자에 손실이 생겨요.
Output:",저축1 적금1 지시1# 돈1 모으다1 좋다1 최고3 나쁘다1 누르다1 알려주다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 적금으로 받게 되는 이자에는 세금이 붙는다는 단점이 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 은행 상품을 보니 적금과 예금이 있던데, 두 상품에 차이가 무엇인가요?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금은 은행과 약속한 기간에 자신이 원하는 금액을 저축하는 상품을 말해요.
Output:",저축1 적금1 나쁘다1 누르다1 이익1 세금1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 돈을 모으기 위해 1년 이상 저축을 하고 싶다면 적금을 선택하세요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 적금은 은행에서 만들 수 있는데, 1개월부터 5년까지 적금 기간을 신청할 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금을 만들 때 가입 기간과 금액을 미리 결정하게 돼요.
Output:",날짜(활용):1년 선배1 돈모으다1 원하다1 저축1 적금1 추천1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 은행에서 예금에 처음 가입할 때 백만원 이상 맡길 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 적금은 은행과 약속한 기간에 돈을 인출하지 못하는 단점이 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
예금은 은행과 약속한 기간에 입출금이 가능하지만, 이자가 줄어드는 단점이 있어요.
Output:",은행1 두다1 새롭다1 가입1 원하다1 1000000 선배1 돈1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 돈을 모으고 싶다면 적금을 선택하고, 입출금을 자주 한다면 예금을 선택하세요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 급하게 돈이 필요할 때 바로 적금을 해지할 수 있는지 알고 싶어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금을 해지할 수 있지만, 적금을 해지하기 전에 확인할 것이 있어요.
Output:",돈1 돈모으다1 원하다1 저축1 적금1 추천1 돈1 넣다1 뽑다4 여러번1 원하다1 은행1 두다1 추천1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 해지하기 전에 이율을 꼭 확인하고, 손실이 얼마인지 확인해야 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 해지 수수료가 있는지 미리 확인하고, 수수료가 있다면 그 비용도 생각해야 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
급하게 돈이 필요하면 적금을 해지하기보다는, 필요한 금액만 인출하는 게 좋아요.
Output:",취소1 원하다1 처음1 이익1 퍼센트5 손해1 얼마1 약속1 확인2
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 만기까지 적금을 유지하는 게 적금의 이자 손실을 줄이는 좋은 방법이에요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 수술 비용을 준비하기 위해 적금을 해지해야 한다면, 이자 손실을 줄이는 방법을 선택하세요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
제가 은행에 가지 않고 적금을 해지할 수 있는지 알고싶어요.
Output:",저축1 적금1 여전하다1 맡다1 제일1 좋다1 이익1 손해1 없다2 완전1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 여러가지 적금의 이자율을 한 번에 확인할 수 있는 방법이 있나요?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 은행에 방문하거나 홈페이지 통해 적금에 대한 정보를 한 번에 확인할 수 있어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
홈페이지에서 이자율을 비교하는 데 도움이 되는 적금 계산기를 사용할 수 있어요.
Output:",저축1 적금1 점수1 이익1 퍼센트1 종류3 확인2 가능1 방법1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 이자율 비교는 적금 상품을 선택할 때 꼭 확인해야 해요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 이자율 이외에도 적금에 관한 조건을 자세히 확인하는 게 좋아요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
제가 적금에 가입할 때 주의해야 할 점은 무엇인지 알고 싶어요.
Output:",적금1 순서2 선택3 약속1 확인2 필요1 기준2 무엇1 퍼센트1 비교1#
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 은행이 원하는 금액으로 가입하면 예금보다 높은 이자를 받게 돼요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 급한 돈이 필요해서 적금을 해지해야 한다면, 원금에 대한 손실이 생겨요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금 가입 기간 중간에 해지할 수 있는지 자세히 알아야 해요.
Output:",은행1 얼마1 광고1 가입1 돈1 두다1 낫다2 이익1 크다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 만기날짜가 지나기 전에 적금을 쓸 방법을 찾는 게 좋아요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 적금 가입이 고민된다면, 은행 직원이나 전문가와 상담하는 게 좋아요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금을 만들고 싶은데, 이자율이 높은 은행을 알려줄 수 있어?
Output:",저축1 적금1 언제1 간격1 까지1 다음1 적금1 방법1 생각2 필요1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 적금의 만기날짜를 잊어버렸는데, 만기날짜 확인 방법을 자세히 알고 싶어요.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 은행의 홈페이지나 애플리케이션에서 적금에 가입할 때 설정한 만기일을 확인할 수 있어.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금 이자에 세금이 붙는다고 하던데, 세금 계산하는 방법을 알려줄 수 있어?
Output:",저축1 적금1 까지1 언제1 잊다1 확인2 방법1 알다1 원하다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 직접 적금 이자를 계산하기 어려운데, 간단하게 이자 계산하는 방법이 있을까?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 은행 홈페이지나, 애플리케이션에 이자 계산기가 있으니 사용해 보는 게 좋을 것 같아.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
네가 가입한 적금 만기 됐을 때 직접 은행에서 돈을 돌려 받았어?
Output:",저축1 적금1 이익1 직접1 계산1 어렵다1 이익1 계산1 방법1 있다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 한국은행에서 10만원짜리 적금을 가입했는데 적금 금액을 바꿀 수 있을까?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 10만원보다 큰 금액을 모으길 원한다면 은행 직원에게 물어봐야 해.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금에 가입해서 오래 유지하면 신용점수가 좋아지는 데 도움이 될까?
Output:",한국1 은행1 저축1 적금1 100000 결정1 하지마1 날짜(활용):1개월 돈1# 몇1 바꾸다1 가능1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 결혼하려면 돈을 모아야 하는데, 적금에 가입하는 게 돈 모으는 데 도움이 될까?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 3천만 원 이상 돈을 모아야 결혼할 수 있으니까 적금에 가입하는 게 좋아.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
은행에서 적금을 가입하는 것보다 인터넷에서 적금을 가입하는 게 좋은 건가?
Output:",결혼1 목적1 돈1 모으다1 필요1 저축1 가입1 이익1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 은행의 적금 이자율이 낮아졌다면, 이자율이 높은 상품에 다시 가입해야 할까?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 적금 이자율이 낮다면 주식 같은 다른 투자에 대한 정보를 확인하는 게 좋아.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
적금 만기일이 지나도 돈을 인출하지 않았다면 벌금을 내야 할까?
Output:",저축1 적금1 은행1 이익1 퍼센트5 작다1 이익1 크다2 새롭다1 가입1 낫다1
"한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
Input: 적금 통장에 직접 돈을 입금하는 건 불편한데, 자동이체 설정하는 게 좋은가?
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
금융","은행상품
Input: 은행 직원은 자동이체를 설정하면 날짜를 잊어버리지 않고 입금할 수 있다고 말했어.
Output:","Instruction: 한국어 문장을 한국수어 글로스로 번역하시오.
Domain: 금융 | Thema: 은행상품
자동차 구입 비용을 모으려면, 가입 기간이 2년 이상인 적금을 만들어야 할까?
Output:",적금1 펴다1 직접1 저축1 적금1 귀찮다1 자연3 야금야금쓰다3 만들다1 두다1 낫다1
